"ComputerName","PSComputerName","Name","StartMode","State"
,"VARUNSAMF6C2","nsi","Auto","Running"
,"VARUNSAMF6C2","p2pimsvc","Manual","Stopped"
,"VARUNSAMF6C2","p2psvc","Manual","Stopped"
,"VARUNSAMF6C2","Parallels Coherence Service","Auto","Running"
,"VARUNSAMF6C2","Parallels Tools Service","Auto","Running"
,"VARUNSAMF6C2","PcaSvc","Auto","Running"
,"VARUNSAMF6C2","PeerDistSvc","Manual","Stopped"
,"VARUNSAMF6C2","PerfHost","Manual","Stopped"
,"VARUNSAMF6C2","PhoneSvc","Manual","Stopped"
,"VARUNSAMF6C2","pla","Manual","Stopped"
,"VARUNSAMF6C2","PlugPlay","Manual","Running"
,"VARUNSAMF6C2","PNRPAutoReg","Manual","Stopped"
,"VARUNSAMF6C2","PNRPsvc","Manual","Stopped"
,"VARUNSAMF6C2","PolicyAgent","Manual","Running"
,"VARUNSAMF6C2","Power","Auto","Running"
,"VARUNSAMF6C2","PrintNotify","Manual","Stopped"
,"VARUNSAMF6C2","PrlVssProvider","Auto","Running"
,"VARUNSAMF6C2","prl_uprof","Auto","Running"
,"VARUNSAMF6C2","ProfSvc","Auto","Running"
,"VARUNSAMF6C2","PulseSecureService","Auto","Running"
,"VARUNSAMF6C2","QWAVE","Manual","Stopped"
,"VARUNSAMF6C2","RasAuto","Manual","Stopped"
,"VARUNSAMF6C2","RasMan","Manual","Stopped"
,"VARUNSAMF6C2","RemoteAccess","Disabled","Stopped"
,"VARUNSAMF6C2","RemoteRegistry","Disabled","Stopped"
,"VARUNSAMF6C2","RetailDemo","Manual","Stopped"
,"VARUNSAMF6C2","RmSvc","Manual","Stopped"
,"VARUNSAMF6C2","RpcEptMapper","Auto","Running"
,"VARUNSAMF6C2","RpcLocator","Manual","Stopped"
,"VARUNSAMF6C2","RpcSs","Auto","Running"
,"VARUNSAMF6C2","SamSs","Auto","Running"
,"VARUNSAMF6C2","SCardSvr","Disabled","Stopped"
,"VARUNSAMF6C2","ScDeviceEnum","Manual","Stopped"
,"VARUNSAMF6C2","Schedule","Auto","Running"
,"VARUNSAMF6C2","SCPolicySvc","Manual","Stopped"
,"VARUNSAMF6C2","SDRSVC","Manual","Stopped"
,"VARUNSAMF6C2","seclogon","Manual","Running"
,"VARUNSAMF6C2","SENS","Auto","Running"
,"VARUNSAMF6C2","Sense","Manual","Stopped"
,"VARUNSAMF6C2","SensorDataService","Manual","Stopped"
,"VARUNSAMF6C2","SensorService","Manual","Stopped"
,"VARUNSAMF6C2","SensrSvc","Manual","Stopped"
,"VARUNSAMF6C2","SessionEnv","Manual","Running"
,"VARUNSAMF6C2","SharedAccess","Manual","Stopped"
,"VARUNSAMF6C2","ShellHWDetection","Auto","Running"
,"VARUNSAMF6C2","shpamsvc","Disabled","Stopped"
,"VARUNSAMF6C2","smphost","Manual","Stopped"
,"VARUNSAMF6C2","SmsRouter","Manual","Stopped"
,"VARUNSAMF6C2","SNMPTRAP","Manual","Stopped"
,"VARUNSAMF6C2","Spooler","Auto","Running"
,"VARUNSAMF6C2","sppsvc","Auto","Running"
,"VARUNSAMF6C2","SQLWriter","Auto","Running"
,"VARUNSAMF6C2","SSDPSRV","Manual","Running"
,"VARUNSAMF6C2","SstpSvc","Manual","Stopped"
,"VARUNSAMF6C2","StateRepository","Manual","Running"
,"VARUNSAMF6C2","stisvc","Manual","Stopped"
,"VARUNSAMF6C2","StorSvc","Manual","Running"
,"VARUNSAMF6C2","svsvc","Manual","Stopped"
,"VARUNSAMF6C2","swprv","Manual","Stopped"
,"VARUNSAMF6C2","SysMain","Auto","Running"
,"VARUNSAMF6C2","SystemEventsBroker","Auto","Running"
,"VARUNSAMF6C2","TabletInputService","Manual","Stopped"
,"VARUNSAMF6C2","TapiSrv","Manual","Stopped"
,"VARUNSAMF6C2","Te.Service","Manual","Stopped"
,"VARUNSAMF6C2","TermService","Manual","Running"
,"VARUNSAMF6C2","Themes","Auto","Running"
,"VARUNSAMF6C2","TieringEngineService","Manual","Stopped"
,"VARUNSAMF6C2","tiledatamodelsvc","Auto","Running"
,"VARUNSAMF6C2","TimeBrokerSvc","Manual","Running"
,"VARUNSAMF6C2","TrkWks","Auto","Running"
,"VARUNSAMF6C2","TrustedInstaller","Auto","Running"
,"VARUNSAMF6C2","tzautoupdate","Disabled","Stopped"
,"VARUNSAMF6C2","UevAgentService","Disabled","Stopped"
,"VARUNSAMF6C2","UI0Detect","Manual","Stopped"
,"VARUNSAMF6C2","UmRdpService","Manual","Running"
,"VARUNSAMF6C2","upnphost","Manual","Stopped"
,"VARUNSAMF6C2","UserManager","Auto","Running"
,"VARUNSAMF6C2","UsoSvc","Auto","Running"
,"VARUNSAMF6C2","VaultSvc","Manual","Running"
,"VARUNSAMF6C2","vds","Manual","Stopped"
,"VARUNSAMF6C2","vmicguestinterface","Manual","Stopped"
,"VARUNSAMF6C2","vmicheartbeat","Manual","Stopped"
,"VARUNSAMF6C2","vmickvpexchange","Manual","Stopped"
,"VARUNSAMF6C2","vmicrdv","Manual","Stopped"
,"VARUNSAMF6C2","vmicshutdown","Manual","Stopped"
,"VARUNSAMF6C2","vmictimesync","Manual","Stopped"
,"VARUNSAMF6C2","vmicvmsession","Manual","Stopped"
,"VARUNSAMF6C2","vmicvss","Manual","Stopped"
,"VARUNSAMF6C2","VSS","Manual","Stopped"
,"VARUNSAMF6C2","VSStandardCollectorService150","Manual","Stopped"
,"VARUNSAMF6C2","W32Time","Manual","Running"
,"VARUNSAMF6C2","WalletService","Manual","Stopped"
,"VARUNSAMF6C2","wbengine","Manual","Stopped"
,"VARUNSAMF6C2","WbioSrvc","Auto","Stopped"
,"VARUNSAMF6C2","Wcmsvc","Auto","Running"
,"VARUNSAMF6C2","wcncsvc","Manual","Stopped"
,"VARUNSAMF6C2","WdiServiceHost","Manual","Running"
,"VARUNSAMF6C2","WdiSystemHost","Manual","Running"
,"VARUNSAMF6C2","WdNisSvc","Manual","Running"
,"VARUNSAMF6C2","WebClient","Manual","Stopped"
,"VARUNSAMF6C2","Wecsvc","Manual","Stopped"
,"VARUNSAMF6C2","WEPHOSTSVC","Manual","Stopped"
,"VARUNSAMF6C2","wercplsupport","Manual","Stopped"
,"VARUNSAMF6C2","WerSvc","Manual","Stopped"
,"VARUNSAMF6C2","WiaRpc","Manual","Stopped"
,"VARUNSAMF6C2","WinDefend","Auto","Running"
,"VARUNSAMF6C2","WinHttpAutoProxySvc","Manual","Running"
,"VARUNSAMF6C2","Winmgmt","Auto","Running"
,"VARUNSAMF6C2","WinRM","Manual","Stopped"
,"VARUNSAMF6C2","wisvc","Manual","Stopped"
,"VARUNSAMF6C2","WlanSvc","Manual","Stopped"
,"VARUNSAMF6C2","wlidsvc","Manual","Stopped"
,"VARUNSAMF6C2","wmiApSrv","Manual","Stopped"
,"VARUNSAMF6C2","WMPNetworkSvc","Manual","Stopped"
,"VARUNSAMF6C2","workfolderssvc","Manual","Stopped"
,"VARUNSAMF6C2","WPDBusEnum","Manual","Stopped"
,"VARUNSAMF6C2","WpnService","Auto","Running"
,"VARUNSAMF6C2","wscsvc","Auto","Running"
,"VARUNSAMF6C2","WSearch","Auto","Running"
,"VARUNSAMF6C2","wuauserv","Manual","Running"
,"VARUNSAMF6C2","wudfsvc","Manual","Running"
,"VARUNSAMF6C2","WwanSvc","Manual","Stopped"
,"VARUNSAMF6C2","XblAuthManager","Manual","Stopped"
,"VARUNSAMF6C2","XblGameSave","Manual","Stopped"
,"VARUNSAMF6C2","XboxNetApiSvc","Manual","Stopped"
,"VARUNSAMF6C2","CDPUserSvc_aec4ed4","Auto","Running"
,"VARUNSAMF6C2","MessagingService_aec4ed4","Manual","Stopped"
,"VARUNSAMF6C2","OneSyncSvc_aec4ed4","Auto","Running"
,"VARUNSAMF6C2","PimIndexMaintenanceSvc_aec4ed4","Manual","Stopped"
,"VARUNSAMF6C2","UnistoreSvc_aec4ed4","Manual","Stopped"
,"VARUNSAMF6C2","UserDataSvc_aec4ed4","Manual","Stopped"
,"VARUNSAMF6C2","WpnUserService_aec4ed4","Manual","Stopped"
"VARUNSAMF6C2",,,,
